Generator,GeneratorType,BusGenerator,Capacity,FixedCost,VariableCost,Technology,Country
TIHANGE 1S,SLOW,B_15,481.0,92000.0,9.1,Nuclear,BE
TIHANGE 2,SLOW,B_15,1008.0,92000.0,9.1,Nuclear,BE
TIHANGE 3,SLOW,B_15,1038.0,92000.0,9.1,Nuclear,BE
AALTER TJ,FAST,B-6,18.0,9333.0,155.5,Oil,BE
BEERSE TJ,FAST,B-5,32.0,9333.0,158.27,Oil,BE
CIERREUX TJ,FAST,B-18,18.0,9333.0,172.68,Oil,BE
IXELLES TJ,FAST,B-8,18.0,9333.0,143.99,Oil,BE
Noordschote TJ,FAST,B-9,18.0,9333.0,137.08,Oil,BE
Turon TJ,FAST,B-18,18.6,9333.0,153.58,Oil,BE
Zedelgem TJ,FAST,B-3,18.0,9333.0,152.86,Oil,BE
Zeebrugge TJ,FAST,B-3,18.0,9333.0,161.82,Oil,BE
Zelzate TJ,FAST,B-6,18.0,9333.0,170.74,Oil,BE
DROGENBOS DM 51,FAST,B-10,2.5,9333.0,172.03,Oil,BE
DROGENBOS DM 52,FAST,B-10,2.5,9333.0,152.52,Oil,BE
BNA1335c,SLOW,D_Connef,1.92,36800.0,27.6,Other,DE
BNA0245a,SLOW,D-29,52.0,113160.0,38.64,Other,DE
BNA0012a,SLOW,D-69,13.0,36800.0,27.6,Other,DE
BNA0021,SLOW,D_oberbr,9.8,113160.0,38.64,Other,DE
BNA0027,SLOW,D-52,138.9,36800.0,27.6,Other,DE
BNA0055,SLOW,D-47,16.0,36800.0,27.6,Other,DE
BNA0062,SLOW,D-57,18.3,36800.0,27.6,Other,DE
BNA0066,SLOW,D-88,17.7,36800.0,27.6,Other,DE
BNA0068,SLOW,D-47,16.5,36800.0,27.6,Other,DE
BNA0090,SLOW,D-19,20.0,113160.0,38.64,Other,DE
BNA0103,SLOW,D-96,18.1,113160.0,38.64,Other,DE
BNA0156a,SLOW,D-97,18.0,36800.0,27.6,Other,DE
BNA0232a,SLOW,E-211,13.2,36800.0,27.6,Other,DE
BNA0232b,SLOW,E-211,8.0,36800.0,27.6,Other,DE
BNA0244,SLOW,D-29,22.0,36800.0,27.6,Other,DE
BNA0250a,SLOW,D-48,10.6,36800.0,27.6,Other,DE
BNA0277,SLOW,D-155,12.6,113160.0,38.64,Other,DE
BNA0283,SLOW,D-153,12.4,36800.0,27.6,Other,DE
BNA0385,SLOW,D-78,12.1,36800.0,27.6,Other,DE
BNA0388,SLOW,D-108,20.0,36800.0,27.6,Other,DE
BNA0399,SLOW,D-23,20.0,36800.0,27.6,Other,DE
BNA0408,SLOW,D-74,14.5,113160.0,38.64,Other,DE
BNA0520,SLOW,D-192,78.0,36800.0,27.6,Other,DE
BNA0549,SLOW,D-47,17.1,113160.0,38.64,Other,DE
BNA0553,SLOW,D-190,15.13,36800.0,27.6,Other,DE
BNA0573,SLOW,D-49,22.0,113160.0,38.64,Other,DE
BNA0617,SLOW,D-104,20.0,113160.0,38.64,Other,DE
BNA0621,SLOW,D-70,18.1,36800.0,27.6,Other,DE
BNA0628,SLOW,D-9,9.8,36800.0,27.6,Other,DE
BNA0636,SLOW,D-177,17.9,113160.0,38.64,Other,DE
BNA0637,SLOW,D-177,40.0,36800.0,27.6,Other,DE
BNA0692,SLOW,D-170,15.6,36800.0,27.6,Other,DE
BNA0775,SLOW,D_Diele,20.0,113160.0,38.64,Other,DE
BNA0797,SLOW,D-199,12.3,36800.0,27.6,Other,DE
BNA0826,SLOW,D-104,15.0,36800.0,27.6,Other,DE
BNA0926a,SLOW,D-158,13.9934,36800.0,27.6,Other,DE
BNA1055,SLOW,D-155,6.7,36800.0,27.6,Other,DE
BNA1091,SLOW,D-209,18.3,36800.0,27.6,Other,DE
BNA1256,SLOW,D-19,13.3,36800.0,27.6,Other,DE
BNA1337b,SLOW,D-159,1.1,36800.0,27.6,Other,DE
BNA1337c,SLOW,D-159,0.8,36800.0,27.6,Other,DE
BNA1398,SLOW,D-25,18.6,36800.0,27.6,Other,DE
BNA1405b,SLOW,E-211,8.7,36800.0,27.6,Other,DE
BNA1405c,SLOW,E-211,4.5,36800.0,27.6,Other,DE
BNA1501,SLOW,E-204,14.0,36800.0,27.6,Other,DE
BNA1522,SLOW,D-19,17.8,36800.0,27.6,Other,DE
BNA0138,SLOW,D-55,43.3,46286.0,30.36,Coal,DE
BNA0270,SLOW,D-1,31.0,46286.0,29.92,Coal,DE
BNA0271,SLOW,D-1,33.0,46286.0,31.27,Coal,DE
BNA0272,SLOW,D-1,33.0,46286.0,33.59,Coal,DE
BNA0660,SLOW,D-95,55.56,46286.0,32.06,Coal,DE
BNA0662a,SLOW,D-95,68.4,46286.0,32.74,Coal,DE
BNA0662b,SLOW,D-95,169.32,46286.0,31.43,Coal,DE
BNA0019,SLOW,D-203,336.0,46286.0,32.33,Coal,DE
BNA0020,SLOW,D-203,433.0,46286.0,31.04,Coal,DE
BNA0067,SLOW,D-88,717.0,46286.0,51.09,Coal,DE
BNA0085a,SLOW,D-47,89.0,46286.0,32.21,Coal,DE
BNA0086,SLOW,D-47,282.0,46286.0,31.7,Coal,DE
BNA0087,SLOW,D-47,282.0,46286.0,31.06,Coal,DE
BNA0093,SLOW,D-180,726.0,46286.0,49.87,Coal,DE
BNA0144,SLOW,D-36,119.0,46286.0,29.44,Coal,DE
BNA0146,SLOW,D-31,303.0,46286.0,32.77,Coal,DE
BNA0147,SLOW,D-31,350.0,46286.0,51.61,Coal,DE
BNA0216a,SLOW,D-109,370.0,46286.0,30.91,Coal,DE
BNA0216b,SLOW,D-109,725.0,46286.0,31.85,Coal,DE
BNA0261b,SLOW,D-174,17.4,46286.0,29.27,Coal,DE
BNA0289b,SLOW,D-153,61.5,46286.0,33.02,Coal,DE
BNA0290,SLOW,D-153,61.5,46286.0,30.12,Coal,DE
BNA0331,SLOW,D-102,345.0,46286.0,31.8,Coal,DE
BNA0332,SLOW,D-102,345.0,46286.0,28.29,Coal,DE
BNA0336,SLOW,D-102,70.0,46286.0,30.77,Coal,DE
BNA0377,SLOW,D-152,510.0,46286.0,30.02,Coal,DE
BNA0402,SLOW,D-23,194.0,46286.0,32.48,Coal,DE
BNA0403,SLOW,D-20,123.0,46286.0,31.61,Coal,DE
BNA0404,SLOW,D-20,137.0,46286.0,29.54,Coal,DE
BNA0413c,SLOW,D-91,763.7,46286.0,49.0,Coal,DE
BNA0420,SLOW,D-60,136.0,46286.0,31.25,Coal,DE
BNA0421,SLOW,D-60,136.0,46286.0,30.69,Coal,DE
BNA0432,SLOW,D-186,125.0,46286.0,51.48,Coal,DE
BNA0433,SLOW,D-186,125.0,46286.0,51.98,Coal,DE
